date,symbol,close
2020-09-25,NVDA,514.95
2020-09-28,NVDA,521.4
2020-09-29,NVDA,529.03
2020-09-30,NVDA,541.22
2020-10-01,NVDA,544.58
2020-10-02,NVDA,522.49
2020-10-05,NVDA,545.7
2020-10-06,NVDA,549.46
2020-10-07,NVDA,558.56
2020-10-08,NVDA,553.55
2020-10-09,NVDA,550.51
2020-10-12,NVDA,569.04
2020-10-13,NVDA,569.93
2020-10-14,NVDA,563.81
2020-10-15,NVDA,558.8
2020-10-16,NVDA,552.46
2020-10-19,NVDA,539.91
2020-10-20,NVDA,545.82
2020-10-21,NVDA,540.99
2020-10-22,NVDA,534.44
2020-10-23,NVDA,543.61
2020-10-26,NVDA,525.65
2020-10-27,NVDA,535.87
2020-10-28,NVDA,505.08
2020-10-29,NVDA,520.96
2020-10-30,NVDA,501.36
2020-11-02,NVDA,503.23
2020-11-03,NVDA,520.78
2020-11-04,NVDA,551.77
2020-11-05,NVDA,566.4
2020-11-06,NVDA,582.48
2020-11-09,NVDA,545.23
2020-11-10,NVDA,510.8
2020-11-11,NVDA,536.72
2020-11-12,NVDA,538.27
2020-11-13,NVDA,531.88
2020-11-16,NVDA,540.61
2020-11-17,NVDA,536.89
2020-11-18,NVDA,537.15
2020-11-19,NVDA,537.61
2020-11-20,NVDA,523.51
2020-11-23,NVDA,525.6
2020-11-24,NVDA,518.31
2020-11-25,NVDA,529.39
2020-11-27,NVDA,530.45
2020-11-30,NVDA,536.06
2020-12-01,NVDA,535.6
2020-12-02,NVDA,541.78
2020-12-03,NVDA,535.84
2020-12-04,NVDA,542.33
2020-12-07,NVDA,544.27
2020-12-08,NVDA,534.0
2020-12-09,NVDA,517.23
2020-12-10,NVDA,518.89
2020-12-11,NVDA,520.53
2020-12-14,NVDA,532.35
2020-12-15,NVDA,534.42
2020-12-16,NVDA,529.7
2020-12-17,NVDA,533.65
2020-12-18,NVDA,530.88
2020-12-21,NVDA,533.29
2020-12-22,NVDA,531.13
2020-12-23,NVDA,520.37
2020-12-24,NVDA,519.75
2020-12-28,NVDA,516.0
2020-12-29,NVDA,517.73
2020-12-30,NVDA,525.83
2020-12-31,NVDA,522.2
2021-01-04,NVDA,524.54
2021-01-05,NVDA,536.19
2021-01-06,NVDA,504.58
2021-01-07,NVDA,533.76
2021-01-08,NVDA,531.07
2021-01-11,NVDA,544.86
2021-01-12,NVDA,539.39
2021-01-13,NVDA,541.27
2021-01-14,NVDA,528.01
2021-01-15,NVDA,514.38
2021-01-19,NVDA,521.01
2021-01-20,NVDA,534.63
2021-01-21,NVDA,554.7
2021-01-22,NVDA,548.5
2021-01-25,NVDA,546.13
2021-01-26,NVDA,537.41
2021-01-27,NVDA,516.71
2021-01-28,NVDA,522.04
2021-01-29,NVDA,519.59
2021-02-01,NVDA,529.48
2021-02-02,NVDA,542.27
2021-02-03,NVDA,541.22
2021-02-04,NVDA,546.57
2021-02-05,NVDA,543.64
2021-02-08,NVDA,577.55
2021-02-09,NVDA,570.53
2021-02-10,NVDA,590.57
2021-02-11,NVDA,610.03
2021-02-12,NVDA,598.45
2021-02-16,NVDA,613.21
2021-02-17,NVDA,596.24
2021-02-18,NVDA,593.16
2021-02-19,NVDA,597.06
2021-02-22,NVDA,574.23
2021-02-23,NVDA,565.68
2021-02-24,NVDA,579.96
2021-02-25,NVDA,532.3
2021-02-26,NVDA,548.58
2021-03-01,NVDA,553.67
2021-03-02,NVDA,536.25
2021-03-03,NVDA,512.19
2021-03-04,NVDA,494.81
2021-03-05,NVDA,498.46
2021-03-08,NVDA,463.73
2021-03-09,NVDA,500.81
2021-03-10,NVDA,498.73
2021-03-11,NVDA,519.74
2021-03-12,NVDA,514.24
2021-03-15,NVDA,527.65
2021-03-16,NVDA,531.65
2021-03-17,NVDA,533.65
2021-03-18,NVDA,508.9
2021-03-19,NVDA,513.83
2021-03-22,NVDA,527.45
2021-03-23,NVDA,522.83
2021-03-24,NVDA,505.72
